,,"DGIF_1
(Academic Level)","DGIF_2
(Age)","DGIF_3
(Gender)","DGIF_4
(Family Income)","DGIF_5 
(No. of Family Members)",BIF_1 (Who influence your decision in subject selection),BIF_2 (Factor influencing decision),SGIF_1 (Dependency),"IAIF_1
(Adequate support and guidance )","ESIF_2
(What Decide Future Goal)",Predicted Mood,Overall,Mood Swing Type,Swing Type,Zone Switch
914,,Senior Secondary,Less than 20 Yrs. ,Male,200000,5,Teachers,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
915,,Professional,21-25 Yrs.,Male,300000,4,Family/Society,Academic Performance,Previous Students' Experiences,Not Sure,Family Professional Goals,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
916,,Post Graduate,21-25 Yrs.,Female,200000,4,Family/Society,Academic Performance,Previous Students' Experiences,Yes,Family Professional Goals,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
917,,Working Professionals,More than 25 Yrs.,Female,200000,6,Family/Society,Academic Performance,Friends and Peers,Not Sure,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
918,,Professional,21-25 Yrs.,Female,200000,3,Teachers,Personal Interest,Friends and Peers,No,Family Professional Goals,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
919,,Post Graduate,More than 25 Yrs.,Male,300000,3,Family/Society,Academic Performance,Family Members,No,Career Preferences,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
920,,Professional,21-25 Yrs.,Male,300000,6,Family/Society,Parental Expectations,Family Members,Not Sure,Financial Stability,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
921,,Senior Secondary,Less than 20 Yrs. ,Female,300000,4,Family/Society,Career Prospects,Online Resources,Not Sure,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
922,,Working Professionals,More than 25 Yrs.,Male,500000,3,Family/Society,Academic Performance,Previous Students' Experiences,Not Sure,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
923,,Professional,21-25 Yrs.,Male,300000,5,Family/Society,Personal Interest,Academic Advisors,No,Family Professional Goals,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
924,,Professional,21-25 Yrs.,Male,1000000,6,Teachers,Career Prospects,Previous Students' Experiences,No,Recent Trends,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
925,,Working Professionals,More than 25 Yrs.,Female,500000,6,Teachers,Parental Expectations,Online Resources,Yes,Career Preferences,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
926,,Working Professionals,More than 25 Yrs.,Male,1000000,4,Family/Society,Academic Performance,Friends and Peers,Not Sure,Hobbies/interest areas,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
927,,Professional,21-25 Yrs.,Female,200000,6,Your own decision,Career Prospects,Previous Students' Experiences,Not Sure,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
928,,Senior Secondary,Less than 20 Yrs. ,Male,200000,3,Your own decision,Personal Interest,Academic Advisors,No,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
929,,Professional,More than 25 Yrs.,Male,1000000,4,Teachers,Academic Performance,Academic Advisors,No,Financial Stability,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
930,,Professional,21-25 Yrs.,Male,1000000,5,Family/Society,Personal Interest,Friends and Peers,No,Financial Stability,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
931,,Working Professionals,More than 25 Yrs.,Male,500000,5,Family/Society,Career Prospects,Family Members,Yes,Financial Stability,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
932,,Working Professionals,More than 25 Yrs.,Female,500000,6,Teachers,Career Prospects,Friends and Peers,Not Sure,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
933,,Professional,21-25 Yrs.,Female,300000,4,Family/Society,Parental Expectations,Family Members,Yes,Recent Trends,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
934,,Post Graduate,Less than 20 Yrs. ,Male,500000,5,Subject Matter Expert (SME),Personal Interest,Friends and Peers,Yes,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
935,,Senior Secondary,Less than 20 Yrs. ,Male,500000,4,Family/Society,Career Prospects,Family Members,Yes,Family Professional Goals,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
936,,Professional,21-25 Yrs.,Male,500000,3,Your own decision,Personal Interest,Family Members,Not Sure,Career Preferences,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
937,,Working Professionals,More than 25 Yrs.,Female,300000,5,Subject Matter Expert (SME),Career Prospects,Online Resources,Yes,Family Professional Goals,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
938,,Senior Secondary,Less than 20 Yrs. ,Female,200000,5,Your own decision,Academic Performance,Previous Students' Experiences,No,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
939,,Professional,21-25 Yrs.,Female,300000,3,Family/Society,Personal Interest,Friends and Peers,Not Sure,Recent Trends,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
940,,Professional,More than 25 Yrs.,Male,100000,4,Family/Society,Career Prospects,Family Members,No,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
941,,Working Professionals,More than 25 Yrs.,Female,100000,3,Subject Matter Expert (SME),Career Prospects,Online Resources,No,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
942,,Senior Secondary,Less than 20 Yrs. ,Female,300000,6,Family/Society,Career Prospects,Online Resources,Yes,Recent Trends,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
943,,Working Professionals,More than 25 Yrs.,Female,200000,5,Your own decision,Academic Performance,Online Resources,Yes,Career Preferences,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
944,,Post Graduate,21-25 Yrs.,Female,1000000,5,Teachers,Personal Interest,Online Resources,Yes,Recent Trends,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
945,,Working Professionals,More than 25 Yrs.,Female,200000,4,Teachers,Personal Interest,Family Members,No,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
946,,Senior Secondary,Less than 20 Yrs. ,Male,300000,3,Your own decision,Career Prospects,Family Members,Yes,Recent Trends,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
947,,Working Professionals,More than 25 Yrs.,Female,300000,3,Teachers,Personal Interest,Family Members,Yes,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
948,,Senior Secondary,Less than 20 Yrs. ,Female,300000,6,Family/Society,Career Prospects,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Happy,Happy,Neutral,Neutral_swing,Positive_zone
949,,Working Professionals,More than 25 Yrs.,Female,100000,5,Family/Society,Parental Expectations,Friends and Peers,Yes,Family Professional Goals,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
950,,Professional,More than 25 Yrs.,Male,1000000,5,Subject Matter Expert (SME),Academic Performance,Academic Advisors,Yes,Career Preferences,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
951,,Senior Secondary,Less than 20 Yrs. ,Male,1000000,6,Family/Society,Parental Expectations,Academic Advisors,Not Sure,Career Preferences,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
952,,Senior Secondary,Less than 20 Yrs. ,Female,100000,5,Family/Society,Personal Interest,Online Resources,No,Recent Trends,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
953,,Senior Secondary,Less than 20 Yrs. ,Male,300000,5,Subject Matter Expert (SME),Academic Performance,Previous Students' Experiences,Yes,Family Professional Goals,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
954,,Senior Secondary,Less than 20 Yrs. ,Female,100000,6,Your own decision,Personal Interest,Family Members,Yes,Family Professional Goals,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
955,,Working Professionals,More than 25 Yrs.,Female,200000,4,Family/Society,Parental Expectations,Academic Advisors,No,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
956,,Working Professionals,More than 25 Yrs.,Female,200000,6,Family/Society,Career Prospects,Academic Advisors,Yes,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
957,,Working Professionals,More than 25 Yrs.,Female,1000000,3,Subject Matter Expert (SME),Career Prospects,Family Members,Yes,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
958,,Professional,More than 25 Yrs.,Male,500000,6,Your own decision,Career Prospects,Previous Students' Experiences,Not Sure,Recent Trends,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
959,,Post Graduate,More than 25 Yrs.,Female,300000,4,Subject Matter Expert (SME),Academic Performance,Friends and Peers,Yes,Recent Trends,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
960,,Post Graduate,21-25 Yrs.,Female,1000000,3,Family/Society,Academic Performance,Previous Students' Experiences,Yes,Family Professional Goals,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
961,,Post Graduate,21-25 Yrs.,Female,300000,4,Family/Society,Parental Expectations,Family Members,Yes,Financial Stability,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
962,,Post Graduate,More than 25 Yrs.,Female,1000000,4,Your own decision,Parental Expectations,Family Members,No,Financial Stability,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
963,,Professional,21-25 Yrs.,Male,100000,4,Family/Society,Parental Expectations,Previous Students' Experiences,Yes,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
964,,Working Professionals,More than 25 Yrs.,Male,100000,3,Teachers,Parental Expectations,Previous Students' Experiences,Not Sure,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
965,,Working Professionals,More than 25 Yrs.,Female,1000000,3,Teachers,Academic Performance,Online Resources,Yes,Hobbies/interest areas,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
966,,Senior Secondary,Less than 20 Yrs. ,Female,100000,3,Family/Society,Academic Performance,Online Resources,Not Sure,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
967,,Professional,21-25 Yrs.,Female,500000,5,Subject Matter Expert (SME),Personal Interest,Friends and Peers,No,Family Professional Goals,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
968,,Working Professionals,More than 25 Yrs.,Male,500000,3,Your own decision,Personal Interest,Previous Students' Experiences,No,Recent Trends,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
969,,Professional,21-25 Yrs.,Female,1000000,3,Subject Matter Expert (SME),Personal Interest,Previous Students' Experiences,Yes,Recent Trends,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
970,,Post Graduate,More than 25 Yrs.,Female,1000000,4,Subject Matter Expert (SME),Academic Performance,Family Members,No,Recent Trends,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
971,,Working Professionals,More than 25 Yrs.,Female,1000000,4,Teachers,Parental Expectations,Online Resources,Not Sure,Family Professional Goals,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
972,,Senior Secondary,Less than 20 Yrs. ,Male,100000,5,Family/Society,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
973,,Senior Secondary,Less than 20 Yrs. ,Male,300000,5,Your own decision,Personal Interest,Family Members,No,Career Preferences,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
974,,Post Graduate,21-25 Yrs.,Female,100000,6,Your own decision,Academic Performance,Friends and Peers,Yes,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
975,,Working Professionals,More than 25 Yrs.,Male,200000,5,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
976,,Working Professionals,More than 25 Yrs.,Female,300000,3,Subject Matter Expert (SME),Career Prospects,Previous Students' Experiences,Yes,Family Professional Goals,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
977,,Post Graduate,21-25 Yrs.,Female,100000,5,Your own decision,Career Prospects,Friends and Peers,Not Sure,Recent Trends,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
978,,Post Graduate,More than 25 Yrs.,Female,300000,4,Teachers,Personal Interest,Academic Advisors,Yes,Family Professional Goals,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
979,,Post Graduate,More than 25 Yrs.,Female,500000,6,Teachers,Academic Performance,Previous Students' Experiences,Yes,Hobbies/interest areas,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
980,,Working Professionals,More than 25 Yrs.,Female,300000,4,Subject Matter Expert (SME),Parental Expectations,Friends and Peers,Not Sure,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
981,,Post Graduate,Less than 20 Yrs. ,Female,200000,5,Family/Society,Academic Performance,Friends and Peers,No,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
982,,Working Professionals,More than 25 Yrs.,Male,1000000,5,Family/Society,Personal Interest,Previous Students' Experiences,Not Sure,Financial Stability,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
983,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,3,Family/Society,Personal Interest,Previous Students' Experiences,No,Recent Trends,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
984,,Post Graduate,Less than 20 Yrs. ,Male,100000,6,Family/Society,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
985,,Post Graduate,More than 25 Yrs.,Male,1000000,4,Family/Society,Parental Expectations,Family Members,No,Family Professional Goals,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
986,,Working Professionals,More than 25 Yrs.,Male,1000000,6,Your own decision,Career Prospects,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
987,,Post Graduate,Less than 20 Yrs. ,Male,200000,5,Teachers,Personal Interest,Previous Students' Experiences,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
988,,Working Professionals,More than 25 Yrs.,Female,500000,5,Teachers,Parental Expectations,Online Resources,Yes,Family Professional Goals,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
989,,Working Professionals,More than 25 Yrs.,Male,1000000,3,Subject Matter Expert (SME),Personal Interest,Academic Advisors,No,Recent Trends,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
990,,Post Graduate,More than 25 Yrs.,Female,1000000,4,Subject Matter Expert (SME),Parental Expectations,Previous Students' Experiences,No,Recent Trends,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
991,,Working Professionals,More than 25 Yrs.,Male,1000000,5,Your own decision,Academic Performance,Online Resources,No,Career Preferences,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
992,,Working Professionals,More than 25 Yrs.,Female,300000,4,Family/Society,Academic Performance,Academic Advisors,No,Recent Trends,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
993,,Professional,21-25 Yrs.,Male,300000,6,Family/Society,Parental Expectations,Online Resources,Yes,Recent Trends,Happy,Happy,Neutral,Neutral_swing,Positive_zone
994,,Professional,More than 25 Yrs.,Male,100000,6,Your own decision,Career Prospects,Previous Students' Experiences,No,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
995,,Post Graduate,Less than 20 Yrs. ,Female,100000,5,Your own decision,Parental Expectations,Previous Students' Experiences,Not Sure,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
996,,Professional,More than 25 Yrs.,Male,300000,4,Your own decision,Career Prospects,Family Members,Not Sure,Financial Stability,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
997,,Professional,21-25 Yrs.,Male,300000,3,Your own decision,Career Prospects,Academic Advisors,Yes,Recent Trends,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
998,,Senior Secondary,Less than 20 Yrs. ,Male,300000,3,Subject Matter Expert (SME),Academic Performance,Friends and Peers,No,Recent Trends,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
999,,Post Graduate,More than 25 Yrs.,Female,100000,6,Family/Society,Career Prospects,Academic Advisors,No,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1000,,Professional,21-25 Yrs.,Male,100000,6,Family/Society,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1001,,Senior Secondary,Less than 20 Yrs. ,Female,500000,5,Teachers,Parental Expectations,Academic Advisors,No,Career Preferences,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
1002,,Senior Secondary,Less than 20 Yrs. ,Female,300000,5,Family/Society,Personal Interest,Previous Students' Experiences,Yes,Hobbies/interest areas,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
1003,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,3,Family/Society,Academic Performance,Academic Advisors,Yes,Hobbies/interest areas,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
1004,,Working Professionals,More than 25 Yrs.,Male,1000000,5,Subject Matter Expert (SME),Career Prospects,Online Resources,No,Family Professional Goals,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
1005,,Working Professionals,More than 25 Yrs.,Female,500000,5,Family/Society,Career Prospects,Family Members,Not Sure,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
1006,,Post Graduate,21-25 Yrs.,Female,1000000,6,Subject Matter Expert (SME),Parental Expectations,Family Members,Yes,Family Professional Goals,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
1007,,Professional,21-25 Yrs.,Male,100000,3,Teachers,Parental Expectations,Academic Advisors,No,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
1008,,Senior Secondary,Less than 20 Yrs. ,Male,300000,3,Your own decision,Parental Expectations,Friends and Peers,Yes,Financial Stability,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
1009,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,3,Subject Matter Expert (SME),Academic Performance,Previous Students' Experiences,No,Financial Stability,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
1010,,Post Graduate,21-25 Yrs.,Female,300000,5,Your own decision,Personal Interest,Academic Advisors,Not Sure,Family Professional Goals,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
1011,,Working Professionals,More than 25 Yrs.,Female,200000,4,Family/Society,Parental Expectations,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1012,,Working Professionals,More than 25 Yrs.,Male,500000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
1013,,Working Professionals,More than 25 Yrs.,Female,1000000,4,Teachers,Career Prospects,Online Resources,Not Sure,Recent Trends,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
1014,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,5,Teachers,Parental Expectations,Academic Advisors,Yes,Family Professional Goals,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
1015,,Senior Secondary,Less than 20 Yrs. ,Female,500000,5,Family/Society,Personal Interest,Family Members,Yes,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1016,,Working Professionals,More than 25 Yrs.,Male,500000,3,Subject Matter Expert (SME),Career Prospects,Online Resources,No,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
1017,,Professional,More than 25 Yrs.,Male,500000,5,Teachers,Career Prospects,Online Resources,No,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
1018,,Working Professionals,More than 25 Yrs.,Male,100000,4,Family/Society,Academic Performance,Academic Advisors,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1019,,Senior Secondary,Less than 20 Yrs. ,Female,200000,3,Subject Matter Expert (SME),Parental Expectations,Friends and Peers,Not Sure,Family Professional Goals,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1020,,Senior Secondary,Less than 20 Yrs. ,Female,100000,3,Your own decision,Parental Expectations,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1021,,Working Professionals,More than 25 Yrs.,Male,500000,3,Family/Society,Career Prospects,Online Resources,No,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1022,,Post Graduate,Less than 20 Yrs. ,Male,1000000,4,Family/Society,Parental Expectations,Online Resources,No,Recent Trends,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
1023,,Working Professionals,More than 25 Yrs.,Male,100000,4,Subject Matter Expert (SME),Parental Expectations,Online Resources,No,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1024,,Post Graduate,More than 25 Yrs.,Male,100000,3,Your own decision,Parental Expectations,Online Resources,Not Sure,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1025,,Post Graduate,Less than 20 Yrs. ,Male,100000,5,Your own decision,Parental Expectations,Online Resources,Yes,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1026,,Professional,More than 25 Yrs.,Female,500000,5,Teachers,Personal Interest,Family Members,No,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
1027,,Professional,21-25 Yrs.,Male,100000,6,Teachers,Parental Expectations,Previous Students' Experiences,No,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1028,,Post Graduate,Less than 20 Yrs. ,Male,500000,6,Subject Matter Expert (SME),Academic Performance,Previous Students' Experiences,Yes,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1029,,Working Professionals,More than 25 Yrs.,Male,1000000,5,Family/Society,Academic Performance,Family Members,Not Sure,Hobbies/interest areas,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
1030,,Professional,More than 25 Yrs.,Male,100000,5,Subject Matter Expert (SME),Personal Interest,Family Members,Yes,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1031,,Working Professionals,More than 25 Yrs.,Female,1000000,3,Your own decision,Career Prospects,Online Resources,No,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
1032,,Senior Secondary,Less than 20 Yrs. ,Female,300000,5,Family/Society,Parental Expectations,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
1033,,Working Professionals,More than 25 Yrs.,Male,500000,3,Subject Matter Expert (SME),Personal Interest,Online Resources,Not Sure,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
1034,,Professional,More than 25 Yrs.,Female,1000000,5,Family/Society,Career Prospects,Family Members,No,Hobbies/interest areas,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
1035,,Professional,More than 25 Yrs.,Female,200000,5,Family/Society,Personal Interest,Online Resources,No,Family Professional Goals,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1036,,Post Graduate,21-25 Yrs.,Male,500000,3,Family/Society,Academic Performance,Online Resources,No,Recent Trends,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
1037,,Professional,More than 25 Yrs.,Male,500000,3,Subject Matter Expert (SME),Parental Expectations,Friends and Peers,Not Sure,Hobbies/interest areas,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
1038,,Professional,More than 25 Yrs.,Male,100000,6,Subject Matter Expert (SME),Parental Expectations,Family Members,No,Recent Trends,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
1039,,Working Professionals,More than 25 Yrs.,Female,100000,3,Family/Society,Academic Performance,Family Members,No,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1040,,Senior Secondary,Less than 20 Yrs. ,Female,300000,3,Teachers,Academic Performance,Family Members,Yes,Financial Stability,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
1041,,Professional,More than 25 Yrs.,Female,500000,5,Family/Society,Parental Expectations,Online Resources,Yes,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
1042,,Working Professionals,More than 25 Yrs.,Male,1000000,6,Family/Society,Career Prospects,Online Resources,Yes,Recent Trends,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
1043,,Post Graduate,More than 25 Yrs.,Female,100000,4,Teachers,Parental Expectations,Previous Students' Experiences,No,Recent Trends,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1044,,Post Graduate,21-25 Yrs.,Male,1000000,4,Family/Society,Parental Expectations,Academic Advisors,Not Sure,Hobbies/interest areas,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
1045,,Professional,21-25 Yrs.,Male,1000000,3,Family/Society,Personal Interest,Friends and Peers,No,Hobbies/interest areas,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
1046,,Senior Secondary,Less than 20 Yrs. ,Male,500000,4,Family/Society,Academic Performance,Previous Students' Experiences,No,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1047,,Senior Secondary,Less than 20 Yrs. ,Male,300000,3,Teachers,Academic Performance,Family Members,Not Sure,Hobbies/interest areas,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
1048,,Post Graduate,Less than 20 Yrs. ,Male,100000,5,Teachers,Career Prospects,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1049,,Working Professionals,More than 25 Yrs.,Male,100000,6,Teachers,Career Prospects,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1050,,Post Graduate,More than 25 Yrs.,Male,500000,6,Family/Society,Parental Expectations,Friends and Peers,No,Family Professional Goals,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1051,,Senior Secondary,Less than 20 Yrs. ,Female,200000,5,Family/Society,Personal Interest,Family Members,Not Sure,Family Professional Goals,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
1052,,Post Graduate,Less than 20 Yrs. ,Female,300000,4,Your own decision,Personal Interest,Previous Students' Experiences,No,Hobbies/interest areas,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
1053,,Working Professionals,More than 25 Yrs.,Male,100000,3,Subject Matter Expert (SME),Personal Interest,Previous Students' Experiences,Yes,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
1054,,Post Graduate,21-25 Yrs.,Male,1000000,6,Teachers,Personal Interest,Family Members,No,Recent Trends,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
1055,,Post Graduate,21-25 Yrs.,Male,100000,3,Teachers,Parental Expectations,Academic Advisors,No,Family Professional Goals,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
1056,,Senior Secondary,Less than 20 Yrs. ,Male,500000,5,Subject Matter Expert (SME),Career Prospects,Previous Students' Experiences,Yes,Recent Trends,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
1057,,Professional,21-25 Yrs.,Male,300000,6,Your own decision,Career Prospects,Friends and Peers,Yes,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
